央视频道,#genre#
CCTV-1综合,http://123.113.180.104:9000/rtp/239.3.1.129:8008
CCTV-2财经,http://123.113.180.104:9000/rtp/239.3.1.60:8084
CCTV-3综艺,http://123.113.180.104:9000/rtp/239.3.1.172:8001
CCTV-4中文国际 美洲,http://123.113.180.104:9000/rtp/239.3.1.214:4220
CCTV-4中文国际 欧洲,http://123.113.180.104:9000/rtp/239.3.1.213:4220
CCTV-4中文国际,http://123.113.180.104:9000/rtp/239.3.1.105:8092
CCTV-5体育,http://123.113.180.104:9000/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://123.113.180.104:9000/rtp/239.3.1.130:8004
CCTV-6电影,http://123.113.180.104:9000/rtp/239.3.1.174:8001
CCTV-7国防军事,http://123.113.180.104:9000/rtp/239.3.1.61:8104
CCTV-8电视剧,http://123.113.180.104:9000/rtp/239.3.1.175:8001
CCTV-9纪录,http://123.113.180.104:9000/rtp/239.3.1.62:8112
CCTV-10科教,http://123.113.180.104:9000/rtp/239.3.1.63:8116
CCTV-11戏曲,http://123.113.180.104:9000/rtp/239.3.1.152:8120
CCTV-12社会与法,http://123.113.180.104:9000/rtp/239.3.1.64:8124
CCTV-13新闻,http://123.113.180.104:9000/rtp/239.3.1.124:8128
CCTV-14少儿,http://123.113.180.104:9000/rtp/239.3.1.65:8132
CCTV-15音乐,http://123.113.180.104:9000/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://123.113.180.104:9000/rtp/239.3.1.184:8001
CCTV-17农业农村,http://123.113.180.104:9000/rtp/239.3.1.151:8144
CCTV-兵器科技,http://171.117.73.99:8083/rtp/226.0.2.223:9696
CCTV-第一剧场,http://171.117.73.99:8083/rtp/226.0.2.221:9680
CCTV-电视指南,http://171.117.73.99:8083/rtp/226.0.2.218:9656
CCTV-风云剧场,http://171.117.73.99:8083/rtp/226.0.2.227:9728
CCTV-风云音乐,http://171.117.73.99:8083/rtp/226.0.2.220:9672
CCTV-风云足球,http://171.117.73.99:8083/rtp/226.0.2.225:9712
CCTV-高尔夫·网球,http://171.117.73.99:8083/rtp/226.0.2.217:9648
CCTV-怀旧剧场,http://171.117.73.99:8083/rtp/226.0.2.224:9704
CCTV-女性时尚,http://171.117.73.99:8083/rtp/226.0.2.226:9720
CCTV-世界地理,http://171.117.73.99:8083/rtp/226.0.2.222:9688
CCTV-央视台球,http://171.117.73.99:8083/rtp/226.0.2.216:9640
CCTV-央视文化精品,http://171.117.73.99:8083/rtp/226.0.2.219:9664
CCTV-种养新影老故事,http://171.117.73.99:8083/rtp/226.0.2.112:8808
CCTV-中学生,http://27.188.109.138:9009/udp/239.254.200.113:6243
CGTN 国际频道,http://123.113.180.104:9000/rtp/239.3.1.215:4220
CGTN 法语频道,http://123.113.180.104:9000/rtp/239.3.1.218:4220
CGTN 俄语频道,http://123.113.180.104:9000/rtp/239.3.1.220:4220
CGTN 纪录频道,http://123.113.180.104:9000/rtp/239.3.1.216:4220
CGTN 西语频道,http://123.113.180.104:9000/rtp/239.3.1.217:4220
CGTN 阿语频道,http://123.113.180.104:9000/rtp/239.3.1.219:4220
CETV 1,http://123.113.180.104:9000/rtp/239.3.1.57:8152
CETV 2,http://123.113.180.104:9000/rtp/239.3.1.54:4120
CETV 3,http://123.113.180.104:9000/rtp/239.3.1.55:4120
CETV 4,http://123.113.180.104:9000/rtp/239.3.1.56:4120
卫视频道,#genre#
北京卫视,http://123.113.180.104:9000/rtp/239.3.1.241:8000
天津卫视,http://123.113.180.104:9000/rtp/239.3.1.141:1234
东方卫视,http://123.113.180.104:9000/rtp/239.3.1.136:8032
重庆卫视,http://123.113.180.104:9000/rtp/239.3.1.122:8160
湖南卫视,http://123.113.180.104:9000/rtp/239.3.1.132:8012
浙江卫视,http://123.113.180.104:9000/rtp/239.3.1.137:8036
江苏卫视,http://123.113.180.104:9000/rtp/239.3.1.135:8028
山东卫视,http://123.113.180.104:9000/rtp/239.3.1.209:8052
广东卫视,http://123.113.180.104:9000/rtp/239.3.1.142:8048
深圳卫视,http://123.113.180.104:9000/rtp/239.3.1.134:8020
安徽卫视,http://123.113.180.104:9000/rtp/239.3.1.211:8064
四川卫视,http://125.36.77.20:8888/udp/225.1.1.123:5002
山西卫视标清,http://123.113.180.104:9000/rtp/239.3.1.42:8172
湖北卫视,http://123.113.180.104:9000/rtp/239.3.1.138:8044
东南卫视,http://123.113.180.104:9000/rtp/239.3.1.156:8148
河南卫视,http://125.36.77.20:8888/udp/225.1.2.61:5002
江西卫视,http://123.113.180.104:9000/rtp/239.3.1.123:8164
广西卫视,http://125.36.77.20:8888/udp/225.1.2.81:5002
内蒙古卫视标清,http://123.113.180.104:9000/udp/239.3.1.43:8176
海南卫视,http://125.36.77.20:8888/udp/225.1.2.82:5002
云南卫视标清,http://123.113.180.104:9000/udp/239.3.1.26:8108
宁夏卫视标清,http://123.113.180.104:9000/udp/239.3.1.46:8124
贵州卫视,http://123.113.180.104:9000/rtp/239.3.1.149:8076
青海卫视标清,http://125.36.77.20:8888/udp/225.1.1.54:5002
